reporting_jurisdiction	CountyFIPS	other_jurisdiction	sewershed_population_served	sewage_travel_time	sample_location	sample_location_specify	wwtp_name	wwtp_jurisdiction	capacity_mgd	industrial_input	stormwater_input	influent_equilibrated	sample_type	composite_freq	sample_matrix	collection_storage_time	collection_storage_temp	solids_separation	concentration_method	extraction_method	pre_conc_storage_time	pre_conc_storage_temp	pre_ext_storage_time	pre_ext_storage_temp	tot_conc_vol	ext_blank	rec_eff_target_name	rec_eff_spike_matrix	rec_eff_spike_conc	pasteurized	pcr_target	pcr_gene_target	pcr_type	hum_frac_target_mic	hum_frac_target_chem	other_norm_name	quant_stan_type	num_no_target_control	sample_collect_date	sample_collect_time	time_zone	flow_rate	ph	conductivity	tss	collection_water_temp	equiv_sewage_amt	sample_id	lab_id	test_result_date	pcr_target_units	pcr_target_avg_conc	pcr_target_std_error	pcr_target_cl_95_lo	pcr_target_cl_95_up	pcr_target_below_lod	lod_sewage	ntc_amplify	rec_eff_percent	inhibition_detect	inhibition_adjust	hum_frac_mic_conc	hum_frac_mic_unit	hum_frac_chem_conc	hum_frac_chem_unit	other_norm_conc	other_norm_unit	major_lab_method	major_lab_method_desc	sample_first_reported	key_sewershed	COUNTY_POPESTIMATE2020	vax_date	cases_date	hosp_date	deaths_date	actuals.vaccinationsInitiated	actuals.vaccinationsCompleted	actuals.vaccinationsAdditionalDose	metrics.vaccinationsInitiatedRatio	metrics.vaccinationsCompletedRatio	metrics.vaccinationsAdditionalDoseRatio	actuals.newCases	metrics.caseDensity100k	metrics.infectionRate	metrics.testPositivityRatio	actuals.hospitalBeds.capacity	actuals.icuBeds.capacity	actuals.hospitalBeds.currentUsageCovid	actuals.icuBeds.currentUsageCovid	metrics.icuCapacityRatio	metrics.bedsWithCovidPatientsRatio	metrics.bedsWithCovidPatientsRatioRolling10	metrics.weeklyCovidAdmissionsPer100k	metrics.weeklyCovidAdmissionsPer100kRolling10	metrics.icuCapacityRatioRolling10	actuals.newDeaths	metrics.newDeathsRolling7
wi	55025		345000		XXXX	XXXX	XXXX	wi	56.0				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	4.699		sars-cov-2	n2	qpcr	pepper mild mottle virus			dna	3	2021-03-23	00:00	utc-05:00	37.71	7.76	1496.0			1.0	XXXX	XXXX	2021-03-24	copies/l wastewater	215859.0	29750.0			no	66000.0	no	3.206	no	no	19572781.0	copies/l wastewater							2021-04-02 16:58:37	wi_231	552536.0	2021-03-13	2021-03-30	2021-04-06	2021-04-13	139006	89061	0.0	0.254	0.163	0.0	21	8.2	1.16	0.008							0.02000000000000472		4.299999999999993	0.9199999999999867	0	0.0
mo	29095		490000		XXXX	XXXX	XXXX	mo	105.0				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	5.6949759457		sars-cov-2	n2	qpcr				rna	3	2021-06-14			66.37						XXXX	XXXX	2021-06-15	copies/l wastewater	35776.125	5709.3855492	17608.86	53943.39	no	1750.0	no	10.793523965	no	no									2021-07-08 20:47:03	mo_195	705925.0	2021-06-04	2021-06-21	2021-06-28	2021-07-05	295354	244115	0.0	0.42	0.347	0.0	91	9.3	1.17	0.044							0.04000000000000193		7.549999999999875	0.7499999999999923	0	0.5
ca	06085		1500000		XXXX	XXXX	XXXX	ca	167.0				grab		primary sludge			centrifugation	none	chemagic viral dna/rna 300 kit	6.0	4.0	6.0	0.0		yes	bcov vaccine	dewatered solids	4.0		sars-cov-2	n	ddpcr	pepper mild mottle virus			dna	more than 3	2021-02-16	07:00	utc-07:00							XXXX	XXXX	2021-02-17	copies/g dry sludge	39201.15552				no	500.0	no	59.0	no	no	750000000.0	copies/g dry sludge							2021-05-26 17:40:11	ca_353	1907105.0	2021-02-06	2021-02-23	2021-03-02	2021-03-09	204880	52681	0.0	0.106	0.027	0.0	230	12.9	0.85	0.02							0.065		6.700000000000041	0.7949999999999985	3	4.75
va	51760		225000		XXXX	XXXX	XXXX	va	75.0				24-hr flow-weighted composite		raw wastewater			centrifugation	innovaprep ultrafiltration	zymo quick-rna viral kit #r1035	24.0	4.0	0.0	4.0	40.0	yes	bcov vaccine	raw sample	6.5622	no	sars-cov-2	ddcov_n	ddpcr				rna	2	2021-10-25	16:20		78.5				3.0		XXXX	XXXX	2021-11-04	copies/l wastewater	2190.0				no	1350.0	no	0.0931	not tested										2022-01-17 18:47:13	va_342	232226.0	2021-10-15	2021-11-01	2021-11-08	2021-11-15	124420	112863		0.54	0.49		87	13.9	0.99	0.068							0.040000000000004386		8.599999999999934	0.9699999999999873	3	0.75
wi	55079		615934		XXXX	XXXX	XXXX	wi	300.0				24-hr flow-weighted composite	1.7	raw wastewater			filtration	membrane filtration with addition of mgcl2	qiagen rneasy powermicrobiome kit							bcov vaccine	raw sample	4.399		sars-cov-2	n2	ddpcr	pepper mild mottle virus		hf183	rna	2	2020-12-09	00:00	utc-06:00	67.0		1750.0	300.0		1.571	XXXX	XXXX	2020-12-10	copies/l wastewater	22562.592		13585.173	35237.419	no	3557.355	no	4.18	not tested	no	25852304.7466667	copies/l wastewater			1305982661.4829	copies/l wastewater	1		2021-03-29 12:44:04	wi_257	945016.0	2020-11-29	2020-12-16	2020-12-23	2020-12-30	0.0	0.0	0.0	0.0	0.0	0.0	465	69.4	0.86	0.101							0.11250000000000232		43.44999999999999	0.5524999999999932	3	4.0
wi	55033		5000		XXXX	XXXX	XXXX	wi	2.88				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	5.863		sars-cov-2	n2	qpcr	pepper mild mottle virus			dna	3	2020-12-29	07:05	utc-06:00	1.164	7.5	1421.0			0.625	XXXX	XXXX	2021-01-04	copies/l wastewater	152903.0	24156.0			no	100000.0	no	1.075	no	no	84472364.35	copies/l wastewater							2021-02-18 18:48:01	wi_246	45452.0	2020-12-19	2021-01-05	2021-01-12	2021-01-19			0.0			0.0	16	47.5	0.99	0.124							0.10500000000000473		13.799999999999994		0	0.125
mo	29159		10730		XXXX	XXXX	XXXX	mo	2.6				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	5.9708683627		sars-cov-2	n2	qpcr				rna	3	2020-12-07			1.245						XXXX	XXXX	2020-12-08	copies/l wastewater	391847.75	19638.308734	329358.65	454336.85	no	1750.0	no	20.373032462	no	no									2021-07-08 20:47:03	mo_360	42490.0	2020-11-27	2020-12-14	2020-12-21	2020-12-28	0.0	0.0	0.0	0.0	0.0	0.0	0	74.0	0.85	0.132							0.21750000000000086		22.34999999999993	0.6474999999999962	0	0.125
wi	55071		34500		XXXX	XXXX	XXXX	wi	15.5				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	5.046		sars-cov-2	n1	qpcr	pepper mild mottle virus			dna	3	2021-02-16	12:00	utc-06:00	5.386	7.6	784.0		12.0	1.0	XXXX	XXXX	2021-02-19	copies/l wastewater	196865.0	22310.0			no	40000.0	no	5.88	no	no	9036483.0	copies/l wastewater							2021-03-03 15:31:59	wi_232	78757.0	2021-02-06	2021-02-23	2021-03-02	2021-03-09	8582	1723	0.0	0.109	0.022	0.0	17	9.4	0.71	0.026							0.030000000000004634		2.8999999999999875	0.6599999999999866	0	0.125
oh	39017		65000	24.0	XXXX	XXXX	XXXX	oh	32.0	0.374999991618097	no		24-hr flow-weighted composite		raw wastewater		4.0	centrifugation	membrane filtration with no amendment, membrane recombined with separated solids	trizol and rna purificaton kit	24.0	4.0	14.0	-20.0	225.0	yes	oc43	raw sample	4.0	no	sars-cov-2	n2	ddpcr	crassphage			rna	more than 3	2021-07-19	07:00	utc-05:00	12.4479999542236	6.90000009536743		122.0	23.1000003814697		XXXX	XXXX	2021-07-21	copies/l wastewater	13586.6669921875	571.232888170483			no	655.0	no	15.2	no	no		copies/l wastewater					2	this lab uses a lab method distinct from other labs in this reporting jurisdiction	2021-07-26 20:47:29	oh_170	385648.0	2021-07-09	2021-07-26	2021-08-02	2021-08-09	170604	136387	0.0	0.445	0.356	0.0	11	7.0	1.27	0.062							0.030000000000003052		4.700000000000002	0.7599999999999913	0	0.125
mo	29189		24174		XXXX	XXXX	XXXX	mo	6.75				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	5.8060202226		sars-cov-2	n2	qpcr				rna	3	2021-05-31			3.5						XXXX	XXXX	2021-05-31	copies/l wastewater	1743.8555002	1055.2957461	-1614.1	5101.81	yes	1750.0	no	13.938227124	no	no									2021-07-08 20:47:03	mo_266	994020.0	2021-05-21	2021-06-07	2021-06-14	2021-06-21	476708	378883	0.0	0.479	0.381	0.0	30	4.3	0.97	0.032							0.020000000000001666		4.2499999999999805	0.8299999999999921	0	0.25
mo	29121		5471		XXXX	XXXX	XXXX	mo	2.5				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	5.6100261095		sars-cov-2	n2	qpcr				rna	3	2021-04-05			1.107						XXXX	XXXX	2021-04-06	copies/l wastewater	7678.125	2546.9606755	-426.3	15782.55	no	1750.0	no	8.875920915	no	no									2021-07-08 20:47:03	mo_230	15095.0	2021-03-26	2021-04-12	2021-04-19	2021-04-26	3370	1852	0.0	0.223	0.123	0.0	1	13.2	0.76	0.049							0.010000000000001804		1.4999999999999147		0	0.0
ca	06037		3500000	9.9	XXXX	XXXX	XXXX	ca	400.0	17.0	no	no	24-hr flow-weighted composite	0.2	raw wastewater				none	zymo environ water rna kit (cat. r2042)						yes					sars-cov-2	n1	qpcr			rnase p	rna	more than 3	2022-01-05	23:59	utc-07:00	297.2	7.4	2557.0	553.0	27.7		XXXX	XXXX	2022-01-10	copies/l wastewater	21500000.0	-1.0			no	16000.0	no	-1.0	no										2022-01-13 17:34:57	ca_211	9943046.0	2021-12-26	2022-01-12	2022-01-19	2022-01-26	7695059	6926869	2476897	0.767	0.69	0.247	40373	398.1	1.09	0.2							0.22500000000000012		40.30000000000002	0.7999999999999986	90	67.5
mo	29201		17000		XXXX	XXXX	XXXX	mo	5.0				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	3.8866547898		sars-cov-2	n1	qpcr				rna	3	2020-09-21			2.262						XXXX	XXXX	2020-09-22	copies/l wastewater	149285.5	28503.920959	58586.02	239984.98	no	1750.0	no	0.1678193769	no	no									2021-07-08 20:47:03	mo_365	38288.0	2020-09-11	2020-09-28	2020-10-05	2020-10-12	0.0	0.0	0.0	0.0	0.0	0.0	13	25.0	0.98	0.127							0.0900000000000008		15.799999999999985		0	0.125
ca	06081		250000		XXXX	XXXX	XXXX	ca	43.0				grab		primary sludge			centrifugation	none	chemagic viral dna/rna 300 kit	6.0	4.0	6.0	0.0		yes	bcov vaccine	dewatered solids	4.0		sars-cov-2	n	ddpcr	pepper mild mottle virus			dna	more than 3	2020-10-30	07:00	utc-07:00							XXXX	XXXX	2020-10-31	copies/g dry sludge	4216.396992				no	500.0	no	30.1	no	no	579000000.0	copies/g dry sludge							2021-05-26 17:40:11	ca_362	758308.0	2020-10-20	2020-11-06	2020-11-13	2020-11-20	0.0	0.0	0.0	0.0	0.0	0.0	81	6.9	1.2	0.015	652	69	23	5	0.71	0.02	0.019999999999999997		2.8000000000000815	0.7049999999999983	1	0.125
ca	06059		1800000	12.0	XXXX	XXXX	XXXX	ca	160.0	6.0	no	no	24-hr time-weighted composite	2.0	raw wastewater				none	zymo environ water rna kit						yes					sars-cov-2	n1	qpcr				rna	2	2021-06-04	07:44	utc-07:00	121.96						XXXX	XXXX	2021-06-07	copies/l wastewater	0.0	0.0			yes	80000.0	no	-1.0	no										2021-06-10 21:18:22	ca_299	3166857.0	2021-05-25	2021-06-11	2021-06-18	2021-06-25	1803296	1542664	0.0	0.568	0.486	0.0	33	1.6	0.93	0.007							0.01		2.000000000000035	0.6399999999999969	1	1.375
wi	55071		34500		XXXX	XXXX	XXXX	wi	15.5				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	4.699		sars-cov-2	n1	qpcr	pepper mild mottle virus			dna	3	2021-03-02	12:00	utc-06:00	6.39	7.6	1259.0		10.6	1.0	XXXX	XXXX	2021-03-09	copies/l wastewater	30005.0	13971.0			yes	40000.0	no	8.455	no	no	5332517.0	copies/l wastewater							2021-03-10 16:26:27	wi_232	78757.0	2021-02-20	2021-03-09	2021-03-16	2021-03-23	11901	4484	0.0	0.151	0.057	0.0	10	6.9	0.77	0.023							0.025000000000004637		3.6999999999999877	0.47499999999998654	0	0.125
mo	29043		151966		XXXX	XXXX	XXXX	mo	64.0				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	5.7351388648		sars-cov-2	n1	qpcr				rna	3	2021-07-25			41.4						XXXX	XXXX	2021-07-25	copies/l wastewater	209721.09375	36311.202882	94178.85	325263.34	no	1750.0	no	11.839304194	no	no									2021-12-16 17:08:49	mo_381	90655.0	2021-07-15	2021-08-01	2021-08-08	2021-08-15	33042	28067	0.0	0.373	0.317	0.0	0	60.1	0.86	0.139							0.1850000000000021		33.24999999999985		0	0.75
ho	48201		70900		XXXX	XXXX	XXXX	tx	13.34				24-hr time-weighted composite	1.0	raw wastewater				membrane filtration with addition of mgcl2	chemagic viral dna/rna 300 kit											sars-cov-2	n1	ddpcr				dna	more than 3	2021-11-29	08:00	utc-05:00	5.115						XXXX	XXXX	2021-12-02	copies/l wastewater	70400.0	3666.67			no	3397.3	no	-1.0	not tested										2021-12-03 21:25:47	tx_56	4738253.0	2021-11-19	2021-12-06	2021-12-13	2021-12-20	3155690	2693974		0.67	0.572		50	7.9	1.35	0.045							0.0400000000000045		6.099999999999914	0.9149999999999883	0	7.375
ca	06075		210000	0.5	XXXX	XXXX	XXXX	ca	43.0	1.0	yes	yes	24-hr time-weighted composite	1.0	raw wastewater				none	4s method (https://www.protocols.io/view/v-4-direct-wastewater-rna-capture-and-purification-bpdfmi3n)	24.0	4.0	0.0		40.0	yes		raw sample		yes	sars-cov-2	n1	qpcr	pepper mild mottle virus			dna	3	2021-03-07	00:00	utc-07:00	12.7		827.0	125.0		1.0	XXXX	XXXX	2021-03-09	log10 copies/l wastewater	4.303522995	1.824796457			no	3.60206	no	-1.0	not tested	no		log10 copies/l wastewater							2021-09-01 22:19:03	ca_362	866606.0	2021-02-25	2021-03-14	2021-03-21	2021-03-28	168357	69413	0.0	0.191	0.079	0.0	26	3.6	0.88	0.008							0.025		2.5500000000000362	0.7299999999999984	2	1.5
wi	55087		72810		XXXX	XXXX	XXXX	wi	15.5				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	6.093		sars-cov-2	n2	qpcr	pepper mild mottle virus			dna	3	2020-11-03	00:01	utc-06:00	9.1	7.5	1475.0		19.6	2.0	XXXX	XXXX	2020-11-06	copies/l wastewater	20919.0	-1.0			yes	33000.0	no	0.037	no	no	10460601.06	copies/l wastewater							2021-02-18 18:48:01	wi_41	188766.0	2020-10-24	2020-11-10	2020-11-17	2020-11-24	0.0	0.0	0.0	0.0	0.0	0.0	152	95.2	0.99	0.155							0.18750000000000233		17.349999999999987	0.5699999999999933	2	1.5
wi	55021		6900		XXXX	XXXX	XXXX	wi	1.17				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	5.92		sars-cov-2	n1	qpcr	pepper mild mottle virus			dna	more than 3	2020-10-13	09:30	utc-05:00	0.792	7.5	1572.0		16.5	2.0	XXXX	XXXX	2020-10-29	copies/l wastewater	14164.0	1185.0			yes	20000.0	no	0.654	no	no	79191392.53	copies/l wastewater							2021-02-18 18:48:01	wi_120	57668.0	2020-10-03	2020-10-20	2020-10-27	2020-11-03	0.0	0.0	0.0	0.0	0.0	0.0	40	82.7	1.04	0.151							0.09000000000000237		27.049999999999983	0.48999999999999333	1	0.125
wi	55059		122000		XXXX	XXXX	XXXX	wi	28.0				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	5.124		sars-cov-2	n1	qpcr	pepper mild mottle virus			dna	3	2020-10-27	00:00	utc-05:00	20.86	7.7	1067.0			2.0	XXXX	XXXX	2020-10-28	copies/l wastewater	259246.0	12595.0			no	20000.0	no	13.1	no	no	14382874.0	copies/l wastewater							2021-02-18 18:48:01	wi_203	169671.0	2020-10-17	2020-11-03	2020-11-10	2020-11-17	0.0	0.0	0.0	0.0	0.0	0.0	214	76.1	1.17	0.146							0.18750000000000233		160.44999999999996	0.8349999999999933	0	2.375
ca	06085		1500000		XXXX	XXXX	XXXX	ca	167.0				grab		primary sludge			centrifugation	none	chemagic viral dna/rna 300 kit	6.0	4.0	6.0	0.0		yes	bcov vaccine	dewatered solids	4.0		sars-cov-2	n	ddpcr	pepper mild mottle virus			dna	more than 3	2021-03-14	07:00	utc-07:00							XXXX	XXXX	2021-03-15	copies/g dry sludge	42883.79316				no	500.0	no	72.3	no	no	932000000.0	copies/g dry sludge							2021-05-26 17:40:11	ca_353	1907105.0	2021-03-04	2021-03-21	2021-03-28	2021-04-04	380255	193309	0.0	0.197	0.1	0.0	106	6.2	0.93	0.011							0.035		4.050000000000041	0.7849999999999985	0	3.625
wi	55047		5500		XXXX	XXXX	XXXX	wi	1.5				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	4.556		sars-cov-2	n2	qpcr	pepper mild mottle virus			dna	3	2021-04-27	07:00	utc-05:00	0.742	7.7	2045.0		13.2	1.0	XXXX	XXXX	2021-05-03	copies/l wastewater	15120.0	10037.0			yes	66000.0	no	0.832	no	no	31554866.0	copies/l wastewater							2021-05-05 13:58:15	wi_57	18908.0	2021-04-17	2021-05-04	2021-05-11	2021-05-18	6846	5616	0.0	0.362	0.297	0.0	1	5.3	1.16	0.023							0.020000000000004677		2.9999999999999716	0.7599999999999866	0	0.0
nc	37129		67743		XXXX	XXXX	XXXX	nc	10.5	2.0	no	no	24-hr flow-weighted composite	5.0	raw wastewater	52.0	4.0		membrane filtration with acidification and mgcl2	nuclisens manual magnetic bead extraction kit	0.0	20.0	0.0	20.0	40.0	yes	bcov vaccine	raw sample	4.11	yes	sars-cov-2	n2	ddpcr	pepper mild mottle virus			rna	more than 3	2021-05-03	06:55		6.38						XXXX	XXXX	2021-05-06	copies/l wastewater	0.0	-1.0	250.0	4750.0	yes	330.0	no	11.0	no		43775000.0	copies/l wastewater							2021-05-07 14:28:08	nc_451	236613.0	2021-04-23	2021-05-10	2021-05-17	2021-05-24			0.0			0.0	60	11.5	0.77	0.053							0.03500000000000239		3.049999999999943	0.619999999999992	0	0.125
ho	48201		124000		XXXX	XXXX	XXXX	tx	23.1				24-hr time-weighted composite	1.0	raw wastewater				membrane filtration with addition of mgcl2	chemagic viral dna/rna 300 kit											sars-cov-2	n2	ddpcr				dna	more than 3	2021-09-06	08:00	utc-05:00	12.916						XXXX	XXXX	2021-09-09	copies/l wastewater	9900.0	4033.33			no	2333.33	no	-1.0	not tested										2021-09-15 18:29:05	tx_201	4738253.0	2021-08-27	2021-09-13	2021-09-20	2021-09-27							992	48.6	0.9	0.135							0.22500000000000447		26.349999999999916	0.9399999999999882	6	37.875
mo	29099		27391		XXXX	XXXX	XXXX	mo	4.0				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	5.9816014645		sars-cov-2	n2	qpcr				rna	3	2020-12-07			1.97						XXXX	XXXX	2020-12-08	copies/l wastewater	1504867.0	118004.49224	1129376.71	1880357.29	no	1750.0	no	20.882802397	no	no									2021-07-08 20:47:03	mo_293	226543.0	2020-11-27	2020-12-14	2020-12-21	2020-12-28	0.0	0.0	0.0	0.0	0.0	0.0	454	77.4	0.87	0.197							0.13250000000000098		29.09999999999988	0.8099999999999961	0	1.0
mo	29165		76759		XXXX	XXXX	XXXX	mo	20.0				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	5.7785163566		sars-cov-2	n2	qpcr				rna	3	2021-11-29			8.4						XXXX	XXXX	2021-11-30	copies/l wastewater	353183.3786	10020.888127	321296.91	385069.84	no	1750.0	no	13.082889434	no	no									2021-12-16 17:08:49	mo_194	106532.0	2021-11-19	2021-12-06	2021-12-13	2021-12-20	60874	52646		0.583	0.504		91	25.4	1.12	0.133							0.1450000000000017		38.149999999999956	0.9849999999999921	1	0.375
nc	37119		182501		XXXX	XXXX	XXXX	nc	28.0	4.0	no	yes	24-hr flow-weighted composite		raw wastewater	153.0	4.0		membrane filtration with acidification and mgcl2	nuclisens manual magnetic bead extraction kit	15.0	20.0	0.0	20.0	40.0	yes	bcov vaccine	raw sample	4.2	yes	sars-cov-2	n1	ddpcr	pepper mild mottle virus			rna	more than 3	2021-10-01	08:06		15.22				8.3		XXXX	XXXX	2021-10-07	copies/l wastewater	50500.0	-1.0	39250.0	63750.0	no	1070.0	no	54.89021956	no		82450000.0	copies/l wastewater							2021-10-09 23:11:37	nc_93	1128945.0	2021-09-21	2021-10-08	2021-10-15	2021-10-22	656952	609835		0.592	0.549		387	28.8	0.83	0.075							0.09000000000000463		11.299999999999882	0.8999999999999838	3	3.0
wi	55117		75000		XXXX	XXXX	XXXX	wi	18.4				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	5.92		sars-cov-2	n1	qpcr	pepper mild mottle virus			dna	3	2020-10-16	06:00	utc-05:00	8.91	7.4	1342.0		17.0	2.0	XXXX	XXXX	2020-10-21	copies/l wastewater	601541.0	60261.0			no	20000.0	no	0.687	no	no	26139421.2	copies/l wastewater							2021-02-18 18:48:01	wi_364	115240.0	2020-10-06	2020-10-23	2020-10-30	2020-11-06	0.0	0.0	0.0	0.0	0.0	0.0	102	104.8	1.07	0.193	191	18	33	5	0.7	0.15	0.1400000000000048		19.200000000000067	0.6699999999999865	0	0.42857142857142855
oh	39063		42000		XXXX	XXXX	XXXX	oh	15.0	4.88672425656281	yes		24-hr time-weighted composite		raw wastewater		4.0	none	membrane filtration with sample acidification	qiagen qiaamp buffers with epoch columns		4.0			100.0	yes	bcov vaccine	raw sample	4.0	no	sars-cov-2	n1	qpcr	pepper mild mottle virus			dna	1	2021-12-05	01:00	utc-05:00	7.8270001411438	7.30000019073486		224.0	15.4000000953674		XXXX	XXXX	2021-12-07	copies/l wastewater	24905.26953125	4664.549505981395			no	100.0	no	49.968120382319384	no	no	75428728.0	copies/l wastewater					10	this lab uses a lab method distinct from other labs in this reporting jurisdiction	2021-12-10 18:08:10	oh_147	75407.0	2021-11-25	2021-12-12	2021-12-19	2021-12-26	38056	35516		0.502	0.469		19	67.1	0.94	0.14							0.28000000000000325		31.350000000000033	0.7499999999999915	0	0.75
ut	49049		253112		XXXX	XXXX	XXXX	ut	30.0				25-hr time-weighted composite		raw wastewater	2.81666666666667		centrifugation	promega wastewater large volume tna capture kit	promega manual tna kit	21.7833333333333	4.0	0.0		20.0		oc43	raw sample	3.5	no	sars-cov-2	n1 and n2 combined	qpcr				rna	1	2021-12-06	07:32	utc-07:00	19.278					2.5	XXXX	XXXX	2021-12-09	copies/l wastewater	1245470.0	10571.283428862049			no	3000.0	no	42.16	not tested								2	uphl uses substantially different concentration and extraction methods from the previous labs. results may not be comparable.	2021-12-09 23:43:04	ut_33	651059.0	2021-11-26	2021-12-13	2021-12-20	2021-12-27	361652	304975		0.568	0.479		609	42.3	0.87	0.118							0.09500000000000436		12.349999999999874	0.8549999999999872	2	0.75
wi	55133		22300		XXXX	XXXX	XXXX	wi	4.02				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	4.347		sars-cov-2	n2	qpcr	pepper mild mottle virus			dna	3	2021-12-02	07:50	utc-06:00	2.464	7.8			11.6	1.0	XXXX	XXXX	2021-12-04	copies/l wastewater	823890.0	90374.0			no	66000.0	no	1.74	no	no	27850273.0	copies/l wastewater							2021-12-10 15:00:10	wi_297	406172.0	2021-11-22	2021-12-09	2021-12-16	2021-12-23	281938	258093		0.698	0.639		295	55.0	1.06	0.131	701	117	146	45	0.64	0.12	0.12000000000000953	35.8	35.800000000000075	0.6399999999999734	3	2.75
oh	39103		35000	8.0	XXXX	XXXX	XXXX	oh	15.0	3.00000011920929	no		24-hr flow-weighted composite		raw wastewater		4.0	centrifugation	membrane filtration with no amendment, membrane recombined with separated solids	trizol and rna purificaton kit	24.0	4.0	1.0	4.0	100.0	no	bcov vaccine	raw sample	6.0	no	sars-cov-2	n2	qpcr	crassphage			rna	2	2021-09-19	00:00	utc-05:00	5.71999979019165	7.28000020980835		196.0	21.7999992370605		XXXX	XXXX	2021-09-21	copies/l wastewater	44090.1484375	6105.913762787819			no	500.0	no	-1.0	no	no	99983928.0	copies/l wastewater					4	this lab uses a lab method distinct from other labs in this reporting jurisdiction	2021-09-30 20:04:09	oh_222	180912.0	2021-09-09	2021-09-26	2021-10-03	2021-10-10	87343	85787		0.486	0.477		104	51.3	0.94	0.11							0.13000000000000347		16.70000000000006	0.4699999999999911	0	0.375
ut	49007		17312		XXXX	XXXX	XXXX	ut	2.2				24-hr time-weighted composite		raw wastewater	8.5	1.0	centrifugation	membrane filtration with sample acidification	phenol chloroform			12.0	-70.0	100.0					yes	sars-cov-2	n1 and n2 combined	qpcr				dna	1	2021-02-09	08:00	utc-07:00	1.4						XXXX	XXXX	2021-02-11	copies/l wastewater	123000.0	25455.84412271571			no	3000.0	no	-1.0	no	no							1	the four academic labs (byu, dsu, usu, uu) used functionally identical methods. split sample testing indicated results were reasonably comparable.	2021-02-15 20:30:47	ut_19	20760.0	2021-01-30	2021-02-16	2021-02-23	2021-03-02	1379	191	0.0	0.067	0.009	0.0	0	20.1	0.91	0.02							0.02000000000000444		16.39999999999968	0.5949999999999872	0	0.0
ca	06085		1500000		XXXX	XXXX	XXXX	ca	167.0				grab		primary sludge			centrifugation	none	chemagic viral dna/rna 300 kit	6.0	4.0	6.0	0.0		yes	bcov vaccine	dewatered solids	4.0		sars-cov-2	n	ddpcr	pepper mild mottle virus			dna	more than 3	2020-09-29	07:00	utc-07:00							XXXX	XXXX	2020-09-30	copies/g dry sludge	19427.84784				no	500.0	no	89.9	no	no	904000000.0	copies/g dry sludge							2021-05-26 17:40:11	ca_353	1907105.0	2020-09-19	2020-10-06	2020-10-13	2020-10-20	0.0	0.0	0.0	0.0	0.0	0.0	52	5.1	0.98	0.016							0.03		3.3500000000000405	0.5474999999999992	4	2.625
ri	44007		500000		XXXX	XXXX	XXXX	ri	77.0				24-hr time-weighted composite	2.0	raw wastewater				peg precipitation	idexx dna/rna magnetic bead kit								raw sample		yes	sars-cov-2	n1 and n2 combined	qpcr	pepper mild mottle virus			rna	2	2021-09-29	09:00		40.66						XXXX	XXXX	2021-10-01	copies/l wastewater	24782.0					200.0	no	-1.0	no	no	9105141.0	copies/l wastewater							2021-12-15 19:06:53	ri_146	636547.0	2021-09-19	2021-10-06	2021-10-13	2021-10-20	420971	380150		0.659	0.595		1099	24.6	0.94	0.018							0.04000000000000423		6.600000000000049	0.8549999999999889	3	0.375
